statement,truth
"Hillary Clinton ""has already said she’s going to wipe out the Second Amendment. She doesn’t believe in the First Amendment. And, she also believes in big government, which flies in the face of the 10th Amendment""",1
"""I opposed the only multilateral trade deal that came before the Senate while I was there.""",3
"""Ted Strickland stands in lockstep with Hillary Clinton and the abortion lobby in their desire to force Americans to pay for abortion on demand, up until the moment of birth, with their taxpayer dollars.""",2
"That 59 divisions in Philly had no votes for Romney in 2012 is ""(a) mathematical and statistical impossibility.""",0
"Says ""employers are still allowed to pay people with disabilities below the minimum wage.""",4
"""The director of the FBI said that we cannot properly vet people coming from the Middle East.""",2
"Says Donald Trump ""has been talking about the option of using a nuclear weapon against our Western European allies.""",2
"""The climate hasn’t warmed in quite a few years. That is proven scientifically.""",1
"""California is home to the largest death row population in the Western Hemisphere.""",5
"Says Hillary Clinton ""doesn’t believe in your right to keep a gun at home for self-defense.""",1
Overdosing is now the number one accidental killer in our Commonwealth.,5
Says President Bill Clinton did not sign NAFTA.,1
"Says Barack Obama ""founded ISIS. I would say the co-founder would be crooked Hillary Clinton.""",0
"Says Carlos Beruff ""supported (Charlie) Crist even after he switched parties.""",4
"Says Hillary Clinton’s plan ""would tax many small businesses by almost 50 percent.""",2
"""Bruce Rauner is of record that he will fully support the Trump candidacy. It’s documented. It’s available.""",4
"Says Hillary Clinton tripled the number of people with AIDS whose ""lives are being saved .. and it did not cost you any more money.""",4
"Undocumented immigrants ""pay $12 billion a year into Social Security.""",3
"""In Catherine Cortez Masto’s last term as attorney general, Nevada murder went up 11 percent, robbery went up 28 percent, rape 51 percent. When Cortez Masto left office, Nevada ranked as America’s third most dangerous state.""",2
"""U.S. Sen. Johnny Isakson has voted for $7 trillion of our national debt!""",4
"""(Paul Ryan) has actually proposed three  -  total, three  -  bills that have become law in his entire career dating back to 1999.""",4
"""Half of all NC legislative candidates are unopposed because of gerrymandering.""",4
"Says Gov. Rick Scott ""cut nearly $1 million from mosquito control and closed down the state’s mosquito research lab a few years ago.""",2
"Says that under the Obama administration, ""the debt has nearly doubled.""",4
"""The Obama-Clinton war on coal has cost Michigan over 50,000 jobs.""",1
"Says Rep. Mike Coffman is ""the one who said"" he would support Trump.",2
"In the 2012 election, there were more votes cast than registered voters in St. Lucie County, and Palm Beach County had 141 percent turnout.",0
"Says in 2012 ""Obama won in every state that did not require a photo ID and lost in every state that did require a photo ID in order to vote.""",1
Says the media distorted what happened with a baby at his rally.,5
"""We know this now. The banks no longer loan (Donald Trump) money because he’s a terrible risk. So he goes to these (Russian) oligarchs and borrows money.""",2
"""Mike Pence voted against expanding the Children’s Health Insurance program, which Hillary helped to start.""",4
"Donald Trump says ""all Mexicans are rapists.""",1
"""I haven’t switched my position"" on the Trans-Pacific Partnership trade deal.",3
"Through the Clinton Foundation, ""the Clintons are now worth in excess of $100 million.""",2
"Says Barack Obama and Hillary Clinton are ""responsible for leading America into a deal that will arm Iran.""",3
"In Buffalo’s SolarCity project, ""Andrew Cuomo will create maybe 500 jobs if it ever happens at all, at about $1.5 million per job.""",1
"Because of the Trans-Pacific Partnership ""we’ve got a country like Malaysia taking really serious efforts to crack down on human trafficking.""",4
"""Interior deportations under Obama were down 40 percent and at a nine-year low.""",4
"The Iran nuclear deal is ""putting billions of dollars back into a country that’s the world’s largest supporter of terrorism. We are actually giving them the money to fund the terrorists that are killing us and our allies.""",3
"Says he saw videotape ""of the people taking the money off the plane"" to pay ransom to Iran for hostages.",1
"""The mosquito population in South Florida is larger than it is in many other communities in the country.""",5
"""Hillary Clinton says she wants to, ’raise taxes on the middle class.’ """,0
"California’s marijuana legalization initiative, Prop. 64 ""allows marijuana smoking ads in prime time, on programs with millions of children and teenage viewers.""",2
"""I’m beating (Kelly Ayotte) in the polls by a lot.""",0
"""The poverty rates in America today aren’t much better than when we started the War on Poverty.""",3
"Thanks to the Trans-Pacific Partnership, ""Vietnam is drafting and presenting unprecedented labor reforms, changing their Constitution to recognize worker organizations in Vietnam for the first time.""",3
"After initially agreeing with Republicans on an amount for Zika funding, ""Democrats derailed it.""",3
"In Arizona, ""there are only one and a half (Border Patrol) agents per every 10 square miles.""",1
"""Youth unemployment is through the roof.""",1
"""Illinois suffered 1,652 overdose deaths in 2014 ... of which 40 percent were associated with heroin. Illinois is ranked number one in the nation for a decline in treatment capacity between 2007 and 2012, and is now ranked the third worst in the country for state-funded treatment capacity.""",5
"The Trans-Pacific Partnership ""knocks out 18,000 tariffs that other countries place on American products and goods.""",4
"""Then, the Republican leader theatrically introduced new bills with stopgap budget language, declaring that we could stay until midnight and pass this compromise. Except under our constitution, a bill has to be read on 3 different days, so that’s not possible.""",2
"Russia and China are ""doing naval exercises together someplace.""",4
"Says ""Marco Rubio didn’t show up"" for a vote on his own bill on sanctions against Hezbollah.",2
"Says ""Danny Tarkanian ¦ wants to defund Planned Parenthood and would outlaw a woman’s right to choose, even in cases of rape or incest.""",5
"Says Milwaukee County district attorney candidate Verona Swanigan ""has worked as a prosecutor.""",1
"""We have a fire marshal that said, ’Oh we can’t allow more people’ ...  And the reason they won’t let them in is because they don’t know what the hell they’re doing.""",0
"""It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khan’s) life.""",0
"""We rank 38th in wages. ... (Rick Scott) goes out around the country and advertises that to other states.""",3
"Trade deals threaten ""India’s role as the pharmacy of the developing world"" for new HIV medicines.",4
"Says Barack Obama ""said black males are two times more likely to be shot by a law enforcement officer than white males"" and ""that is a lie"" because ""there is no data.""",2
"""American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs.""",4
"Says Donald Trump ""is going to go out and carpet bomb"" the Middle East.",1
"Says Sen. Pat Toomey ""even tried to shut down the federal government in order to eliminate funding for Planned Parenthood.""",2
"""A few weeks ago, (the) education committee in Congress is deciding what’s going to be in your local salad bar.""",1
"""Nobody covered"" the remarks of Patricia Smith, the mother of a Benghazi victim, ""live, but almost everybody covered Khizr Khan’s, Mr. Khan’s remarks live.""",0
"""As usual, Hillary & the Dems are trying to rig the debates so 2 are up against major NFL games.""",0
"Says, regarding the presence of classified information in her email, FBI Director James ""Comey said my answers were truthful, and what I’ve said is consistent with what I have told the American people.""",0
"In Liberia, ""a girl is more likely to be married by 18 than to know how to read.""",2
"Says Donald Trump ""proposes tax cuts, too -- $3 trillion for millionaires like himself and $2 trillion for corporations like his.""",4
"Says Hillary Clinton wrote, ""I believe the primary role of the state is to teach, train and raise children. Parents have a secondary role.""",0
"Says Donald Trump ""doesn’t make a thing in America.""",1
"""The DNC hack showed you that the Clinton campaign was working to schedule (primary) debates against (Bernie) Sanders,"" and the Clinton campaign is continuing this ""ploy"" against Donald Trump.",1
"""Bike lanes and sidewalks have been proven to reduce crashes by up to 38 percent on Austin’s streets.""",2
"Barack Obama ""ended up getting re-elected by the largest gender gap in the history of American elections.""",3
"""Only five Texas counties account for almost 90 percent of the (state’s) cattle industry.""",1
"Says Indiana Gov. Mike Pence ""denies that there’s such a thing as evolution.""",3
"""We fixed a loophole in the (gun) background record check system so that we could make our commonwealth safer.""",5
"Says Hillary Clinton’s Iran nuclear deal ""lined the pockets of the world’s number one state sponsor of terrorism with your money.""",2
"Says ""Donald Trump has defended"" World War II internment camps.",3
"""More than 90 percent of the gains have gone to the top 1 percent.""",3
"Says Donald Trump ""claimed our armed forces are ’a disaster.’""",4
"""We put a lid on Iran’s nuclear program without firing a single shot.""",4
"Says Trump ties are made ""in China, not Colorado. Trump suits in Mexico, not Michigan. Trump furniture in Turkey, not Ohio. Trump picture frames in India, not Wisconsin.""",4
"""Our economy is so much stronger than when (Barack Obama and Joe Biden) took office. Nearly 15 million new private-sector jobs.""",3
"After the shootings of Dallas policemen, ""nearly 500 people applied in just 12 days.""",5
"Says Donald Trump said at the Republican convention, ""I alone can fix it.""",4
"Florida retirees and families ""lost tens of thousands of dollars"" in deposits on failed Trump condo projects, but he ""pocketed their money and walked away.""",3
"Says Hillary Clinton ""negotiated the first agreement  -  ever  -  where China and India officially committed to reduce their emissions.""",3
"""The Koch network (is) spending more money (in a Senate race) in Ohio than anywhere else in the country.""",5
"In first week as governor, Tim Kaine ""proposed a nearly $4 billion tax increase, $4 billion, including a tax increase on people earning as little as $17,000 a year.""",4
"""Just on the issue of immigration alone, it is next to impossible to find a policy difference between (Donald) Trump and Congressman (Joe) Heck.""",1
"""I’m not one for name calling.""",0
"""In 2009, his first year as mayor,"" JuliÃ¡n Castro ""received a seven-figure referral fee"" that smells like a dirty financial gift ""from notorious personal injury lawyer Mikal Watts, a major Obama donor.""",2
"""When LBJ started #WarOnPoverty, 14% of Americans lived in poverty. 50 yrs later, 14% still do. There’s a #BetterWay.""",2
"Says Donald Trump promised ""the mass deportation of Latino families.""",3
"""Almost every country on Earth sees America as stronger and more respected today than they did eight years ago when I took office.""",4
"""Illegal immigration and the crime rate are as low as they’ve been in decades.""",4
"""We have the most productive workers in the world.""",4
"""John McCain’s chief economic adviser during the ’08 race ¦ estimated that Trump’s promises would cause America to lose 3.5 million jobs.""",3
"Independent analysts ""found that Trump’s tax plan, given to the wealthy and big corporations, would rack up $30 trillion in debt.""",3
"Says Donald Trump ""games the U.S. visa system so he can hire temporary foreign workers at low wages.""",4
"""Ninety percent of Americans want our background check system strengthened and expanded to cover more gun sales.""",5
"Donald Trump ""called the military that I served in a disaster.""",4
"""We moved 100 times as many people out of poverty as moved out when President (Ronald) Reagan was in office, with 40 percent more jobs.""",3
"Says ""Donald Trump and Mike Pence want to gamble with your retirement benefits in the stock market.""",2
"""Immigrants start businesses at a faster rate; they seem to grow those businesses more successfully.""",4
"Says he and Bernie Sanders have ""very similar"" views on trade",4
"Says Gov. Mike Pence and Rep. Mike Coffman ""take the same positions on a number of things ... Coffman and Pence oppose equal rights for LGBT Americans.""",2
"""Not one American flag on the massive stage at the Democratic National Convention until people started complaining- then a small one. Pathetic.""",3
"Says U.S. Sen. Ron Johnson ""opposes faster broadband internet in small towns"" and ""got nearly $90,000 in campaign contributions from the telecom special interests.""",3
"""As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran’s nuclear program"" and ""got Russia and China to support them.""",4
"""The approval of the United States was 20 points higher when (Hillary Clinton) left the secretary of state’s office than when she took it.""",3
"Says when an interviewer asked Donald Trump if he treats women with respect, Trump replied, ""I can’t say that.""",2
"Says Donald Trump ""cashed in"" on Sept. 11,  ""collecting $150,000 in federal funds intended to help small businesses recover  -  even though days after the attack Trump said his properties were not affected.""",3
"Says Hillary Clinton helped ""get done"" the Children’s Health Insurance Program.",4
"Says Donald Trump ""said a woman should be punished for exercising her right to choose.""",3
"""Human trafficking is the third-biggest criminal enterprise in the world.""",4
"California has ""the sixth largest economy on planet Earth.""",4
"""The top 1 percent in recent years has earned 85 percent of all new income.""",3
"Says Hillary Clinton and Ralph Northam ""label police as racists.""",2
"""There are fewer people crossing (the southwest) border than in the last 30 years.""",4
"""Donald Trump said he was excited for the 2008 housing crash that devastated millions of American families, because he thought it would help him scoop up more real estate on the cheap.""",3
"Speakers at the Democratic National Convention made ""zero mentions of the global terrorist threat posed by ISIS.""",5
"""The top one-tenth of 1 percent now owns almost as much wealth as the bottom 90 percent.""",4
"Says Donald Trump ""believes that states should actually have the right to lower the minimum wage below $7.25.""",4
"""I wake up every morning in a house (the White House) that was built by slaves.""",5
"Says Trump shirts are made in Bangladesh, Trump suits in Mexico, Trump Vodka in the Netherlands, Trump crystal barware in Slovenia and his cufflinks and ties in China.",4
"""We are the only industrialized nation that doesn’t guarantee workers paid family leave.""",4
"Says ""Donald Trump is a guy who has called for privatization"" of the Veterans Administration.",2
"""An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.""",1
"Says Debbie Wasserman Schultz ""has voted for huge subsidies for the sugar industry ... as well as for delays in cleanups.""",4
"Unemployment numbers ""are artificial numbers. These are numbers that are massaged to make the existing economy look good, to make this administration look good when, in fact, it’s a total disaster.""",0
"In South Sudan, ""more teenage girls die in childbirth than finish high school.""",4
"Says unlike Tim Kaine, who ""invested"" in education, Indiana Gov. Mike Pence ""slashed education funding.""",1
"On gift taking, ""Bob McDonnell took a fraction of what (Tim) Kaine took.""",0
"""I am the only candidate who ran in either primary who said, ’I will not raise taxes on the middle class.’""",0
"The U.S. has to go to ""plane graveyards"" and museums to get parts for its 20-year-old jet fighters while it sells new jets to other countries.",4
"Says Ted Cruz ""never denied"" his father was photographed with Lee Harvey Oswald.",0
"""We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history""",5
"Says that as a U.S. senator, Russ Feingold ""voted against authorizing our military 11 separate times.""",3
"""Nearly 180,000 illegal immigrants with criminal records, ordered deported from our country, are tonight roaming free to threaten peaceful citizens.""",4
"""An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.""",5
"""America is one of the highest-taxed nations in the world.""",2
"""Household incomes are down more than $4,000 since the year 2000.""",4
"""Our trade deficit in goods reached nearly ¦ $800 billion last year alone.""",5
"Says Hillary Clinton ""supported North American Free Trade Agreement), and she supported China’s entrance into the World Trade Organization¦. She supported the job-killing trade deal with South Korea. She supported the Trans-Pacific Partnership.""",4
"Says Hillary Clinton ""wants to essentially abolish the Second Amendment.""",1
"""While Hillary Clinton plans a massive, and I mean massive, tax increase, I have proposed the largest tax reduction of any candidate who has run for president this year, Democrat or Republican.""",4
"""America has lost nearly one third of its manufacturing jobs since 1997, following the enactment of disastrous trade deals supported by Bill and Hillary Clinton.""",3
"Says Hillary Clinton ""wants sanctuary cities.""",4
"Says Hillary Clinton ""has called for a radical 550 percent increase in Syrian  ... refugees . . .  despite the fact that there’s no way to screen these refugees in order to find out who they are or where they come from.""",3
"""Forty-three million Americans are on food stamps.""",5
"""The number of new illegal immigrant families who have crossed the border so far this year already exceeds the entire total from 2015.""",3
"""In 2009, pre-Hillary, ISIS was not even on the map.""",2
"""Homicides last year increased by 17 percent in America’s 50 largest cities. That’s the largest increase in 25 years.""",3
"""Two million more Latinos are in poverty today than when President Obama took his oath of office less than eight years ago.""",3
"""Every single strawberry that is served to Members of Congress will have passed through the rough hands of an undocumented immigrant.""",3
"Says Rep. Tammy ""Duckworth has been a staunch supporter of expanding the spending, size and reach of the IRS.""",1
"Says North Carolina is ""home of the largest military installations in the world.""",4
"Says as Indiana governor, he has made ""record investments in education.""",3
"""We in Indiana have . . . the highest credit rating in the nation.""",4
"""It was Hillary Clinton who left Americans in harm’s way in Benghazi and after four Americans fell said, ’What difference at this point does it make?’ """,2
"Says ""Hillary (Clinton) wants to increase the number (of Syrian refugees) by 500 percent.""",4
"""There are more Hoosiers going to work than ever before.""",3
"""A million Democrats deserted (Howard Dean’s) party and joined my party because of Donald Trump in Ohio this year.""",2
"""Just 9 percent of Muslims in Pakistan view ISIS favorably. Unfortunately, that 9 percent is 16 million people. And that’s just one country.""",4
"Says Donald Trump ""always pays his bills promptly.""",1
"""Our economy is not growing.""",1
"""Hillary Clinton invented ISIS with her stupid policies. She is responsible for ISIS.""",1
"""Neighborhoods have become more violent"" under President Barack Obama’s ""watch.""",2
"""[Hillary Clinton]’s not trusted -- virtually at all.""",2
"""For decades, the state’s gas tax has been among the highest in the nation.""",5
"Donald Trump ""rooted for the housing crisis, because he knew he could make money off of it.""",4
"In 2010, Clinton ""said Iran could enrich uranium. In 2014 she said she’s always argued against it.""",2
"Says Hillary Clinton is proposing ""destroying Medicare for seniors.""",1
""" ’What difference, at this point, does it make?’ I am the guy that got under her skin and provoked that infamous response from Hillary Clinton by asking a pretty simple question, ’Why didn’t you just pick up the phone and call the survivors’ (of the Benghazi attack)?""",4
"Says Hillary Clinton ""said all work-related emails were sent back to the State Department. The FBI director said, that’s not true.""",5
"Says ""(Clinton) called President Assad a ’reformer.’ She called Assad a ’different kind of leader.’ """,3
"Says Hillary Clinton ""lied about why her parents named her Hillary.""",3
"As a senator, Hillary Clinton ""paid women less than the men"" in her office.",2
"""(Koch Industries) is among the worst in toxic air pollution in the entire United States ... and churns out more climate-changing greenhouse gases than oil giants Chevron, Shell and Valero.""",4
"""The Clinton camp was the first to get it out there and try to say there was something untoward about the speech that Melania Trump gave.""",1
"""Barack Obama and Hillary Clinton have left us with $19 trillion in debt.""",2
"Says Donald Trump is ""against minimum wage.""",2
"""There are at least twice as many licensed firearm dealers in California as there are McDonald’s.""",5
"Says President Barack Obama is ""absolutely"" a Muslim.",0
"""There are about 350,000 people who succeed in crossing our borders illegally each year.""",1
"Says as GOP was picking a convention city, ""I recommended Ohio.""",1
"""We defied the stand-down orders"" during the Benghazi attack.",2
"""Hillary Clinton is for open borders.""",1
"Says Hillary Clinton ""has been a champion of globalist trade agreements. ... Worst of all, they are now pushing the disastrous 5,000-page Obamatrade  -  the Trans-Pacific Partnership agreement.""",2
"""We have the lowest percentage of Americans actually holding a job in 40 years.""",4
"""The Cleveland police has issued a stand down order to officers.""",0
"""John Faso took money from fossil fuel companies as they tried to take your land by eminent domain for a fracked gas pipeline.""",3
"""Illegal tobacco sales, price driven too high, has been connected to at least several cases of funding terrorism against us in multi-year investigations over the last decade and a half.""",4
"Says no one from the Bush family attended the 2012 Republican National Convention and ""there was no President Bush"" at the 2008 convention.",1
"""What the facts say"" is ... ""the best scenario for kids is a loving mom and dad.""",1
"""Granite State shipbuilders . . . built the first ship that sailed into battle under a new American flag.""",3
"""95 percent of the world’s customers are ¦ beyond our shores.""",3
"""Do you know what the second sport with the most concussions is? Women’s soccer¦ And the third most dangerous sport? Cheerleading.""",3
"Says Gary Farmer’s claim that he ""received an ’A’ from the NRA"" is ""an absolute lie.""",5
"Says middle-class New York State residents will have the ""lowest tax rate in 70 years.""",4
"""Just look at what the FBI director said about her (Hillary Clinton)  -  her misconduct  is a disgrace and embarrassment to our country.""",1
"""In North Carolina, paid family leave is more popular than college basketball.""",4
"""You’re more likely to be the victim of a violent crime in Milwaukee than in 96 percent of the country.""",3
"Says Mark Kirk ""called for the mass arrest of 18,000 African Americans"" and ""was apparently fine with Trump’s #StillTooRacist call for mass deportation.""",1
"""We flood communities with so many guns that it is easier for a teenager to buy a Glock than get his hands on a computer or even a book.""",2
"Says Hillary Clinton ""took 13 hours to send help to Americans under fire"" during the terrorist attack in Benghazi.",1
"""Today, there are more Hoosiers going to work than ever before in the 200-year history of the great state of Indiana.""",3
"Says Sen. John McCain spent the July 4 weekend in Islamabad, Pakistan, selling ""F-16s and advanced weapons to the folks who harbored Osama bin Laden.""",1
"""(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.""",4
"""Over the last six years, the state of Illinois spent about $320 million on illegal immigrants.""",5
"""A shocking 20 veterans are committing suicide each and every day, especially our older veterans.""",5
"""90% of rural women and 55% of all women are illiterate"" in Morocco.",1
Says GOP Senate nominee Darryl Glenn said he wants to see Ted Cruz appointed to the U.S. Supreme Court.,5
"""Independent analysts say (Donald Trump) would add $30 trillion to the national debt.""",3
"African-Americans don’t use drugs at a higher level than whites but ""wind up going to prison six times more.""",4
"Says ""220,000 New Yorkers would have immediately benefitted had President Obama’s executive action been affirmed. So almost a quarter million of our fellow New Yorkers who are hurting right now whose rights and opportunities were taken away by the Supreme Court.""",2
"""Each [Corbett administration] budget finished in the black.""",3
"""We have lower family incomes in Illinois today than we had 17 years ago in Illinois ... because of the control of (House) Speaker (Michael) Madigan and his Democrats.""",3
"Says Ron Johnson ""supported a plan to cut benefits and raise the retirement age"" for Social Security.",2
"""(Big banks) have invested over $300,000 in (Joe Heck), and Heck has sponsored $44 million dollars in tax breaks for banks.""",2
"""Condemning violence against the police and urging support for the police"" is ""markedly absent"" from President Barack Obama’s public remarks.",0
"In 2016, Dallas, Texas, has fewer ""police officer-related shootings than any large city in America.""",3
"""The folks in Washington"" are ""already forcing you to buy government health care.""",2
"California’s Proposition 63 would ""CRIMINALIZE the sharing of ammunition between friends who may be hunting or shooting together.""",2
"Says Hillary Clinton has been given tens of millions of dollars by countries that ""treat women horribly ... and countries that kill gays.""",3
"Says he ""voted to remove Common Core from our schools.""",2
"The United States is ""the oldest democracy"" in the world.",5
"Says Donald Trump has ""bankrupt four separate businesses.""",4
"The war on drugs led to ""a 500 percent increase in incarceration in our country, disproportionately affecting poor and disproportionately affecting minorities.""",4
"""There are approximately 18,000 (police) departments in the United States.""",4
"""We got the highest vote count in the history of the Republican Party.""",4
"Says Donald Trump ""wants to get rid of the federal minimum wage.""",5
"Harris County, Texas has ""some of the highest jailing and incarceration rates in the U.S. and the world.""",4
"""We’re losing as many people to heroin and opioid overdoses as we lost to the AIDS epidemic at its peak.""",2
"Says Donald Trump made a lot of money from outsourcing jobs thanks to NAFTA ""but never, ever raised his voice against it when Congress was considering it.""",2
"""Sanctuary cities such as Philadelphia refuse to cooperate with the federal government in locating suspected terrorists who are in their custody and are in the country illegally.""",3
"Says Attorney General Loretta Lynch ""was a member of Bill Clinton’s defense team during the 1992 Whitewater corruption probe.""",0
"""More people now die in Wisconsin from drug overdoses than car crashes.""",5
"""Rather than work to secure the border, (Marco Rubio) supported Obama’s amnesty plan for illegal immigrants.""",2
"""Right now, our corrections department charges taxpayers between $30,000 and $40,000 a year per person we lock up,"" she said. ""That’s actually cheap when you compare us to the rest of the country.""",3
"""You know what (Saddam Hussein) did well? He killed terrorists.""",2
"For 21 countries in Sub-Saharan Africa, ""we simply do not have data to say anything about trends in poverty.""",4
"""Many Nevadans relied on Uber for work, but after accepting $70,000 from taxi companies, Catherine Cortez Masto went after Uber ... (driving) them out of town.""",2
"Says Patrick Murphy has ""taken more money from Wall Street than any other member of Congress other than the speaker and the majority leader.""",4
"""40% of Americans know someone who has been killed by a gun.""",4
"""Taxpayers are paying a fortune for the use of Air Force One on the campaign trail"" by President Barack Obama and Hillary Clinton.",4
"Says she ""never received nor sent any material that was marked classified"" on her private email server while secretary of state.",1
"Says Hillary Clinton ""savaged"" the dignity of people who accused Bill Clinton of sexual harassment or assault ""and shamed them.""",2
"Says Ron Johnson justifies his support of trade agreements by saying the U.S. has the Trade Adjustment Assistance program for displaced workers, but then he ""voted to eliminate it.""",2
"""The average time someone used to hold a share of stock back in the ’60s was eight years. Now, the average time is four months.""",4
"""The steel industry is producing as much steel in the United States as it ever was. It’s just (that) it needs one-tenth of the workers that it used to.""",1
"Says ""while serving in the city council, Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China.""",0
"""During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.""",2
"Says Donald Trump’s position is ""to roll back all"" of the financial regulations passed after the financial crisis.",4
"President Barack Obama attended  ""an Islamic madrassa.""",2
"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",4
"Proposed NC law for body camera footage gives police ""broad authority to keep video footage secret “ even from individuals who are filmed.""",5
"""Google search spike suggests many people don’t know why they voted for Brexit.""",2
"""Cincinnati is already one of the biggest cities in the country to run 100 percent on clean energy.""",3
"""As Secretary of State, Hillary Clinton laundered money to Bill Clinton through Laureate Education, while Bill Clinton was an honorary chairman of the group.""",1
"Says Donald Trump’s proposed tax treatment of hedge fund managers ""makes the current loophole even worse.""",5
"""If you’re a terrorist you can’t fly,"" but ""an assault weapon you can buy.""",4
"Says Donald Trump ""spent the least amount of money of any of the competitive primary contenders that he beat so badly.""",4
"""When he served as governor, Schwarzenegger preserved more land than any other gubernatorial administration in California’s history.""",4
"The Orlando shooter used ""a weapon of war.""",3
"""During the (Benghazi) attack, a stand-down order was given, and our troops were told to change their clothes four times.""",2
"Says Hillary Clinton ""presided over $6 billion lost at the State Department, sold uranium to the Russians through (her) faux charity, illegally deleted public records, and murdered an ambassador.""",0
"Says Kelly Ayotte ""stands with the Washington gun lobby. They fund her campaigns.""",3
"Says Hillary Clinton’s State Department ""approved the transfer of 20 percent of America’s uranium holdings to Russia, while nine investors in the deal funneled $145 million to the Clinton Foundation.""",2
"David Jolly ""has used money and power to try to ¦ drill off our beaches.""",2
"""DUI arrests dropped significantly in Tampa once Uber began operating here.""",3
"""If you are a member of  union, your median weekly income is roughly $200 more than if you are a nonunion member, and that doesn’t include benefits.""",5
"Says Gov. Doug Ducey wants to use ""taxpayer dollars to increase the salaries of private prison guards.""",4
"""As Bernie Sanders said, Hillary Clinton ’voted for virtually every trade agreement that has cost the workers of this country millions, millions of jobs.’ """,3
"""Doctors kill about 250,000 people a year in botched surgeries.""",1
"The House Zika bill ""limits access to birth control services needed to help curb the spread of the virus"" in Puerto Rico.",3
"""Hillary Clinton surged the trade deficit with China 40% as Secretary of State, costing Americans millions of jobs.""",2
"""Thanks to (North Carolina’s) governor and the legislature, the average teacher salary can barely support a family.""",2
"Says Hillary Clinton ""filibustered legislation to reform"" Fannie Mae and Freddie Mac.",1
"After Britain’s vote to leave the European Union, ""within 24 hours, Americans lost $100 billion from our 401(k)s.""",4
"Says Donald Trump ""literally has no plans to make higher education more affordable.""",4
"The United States ""is the only major country that taxes its own exports.""",2
"Says ""Paul Ryan shut off the C-SPAN cameras when the Democrats started their sit-in.""",2
"""Risk analysts listed Donald Trump, a Donald Trump presidency, as one of the top threats facing the global economy, ahead of terrorism.""",5
"Gov. Terry McAuliffe ""has made several statements that he would love to be in a Cabinet secretary position with the Clinton administration.""",1
"""Despite the rhetoric from Democrat politicians, more people are employed this year than at any point in the history of Wisconsin.""",4
"""Go look at a Trump product. They’re all made in China.""",2
"""The major immigration issue was about Poles, and Bulgarians, and Romanians,"" and that they weren’t contributing economically. ""The unemployment rate among Poles in Britain is lower than the unemployment rate among Brits.""",5
"Says British voters ""under 50, especially millennials, overwhelmingly voted to stay,"" in the European Union. ""It was older voters who voted to leave.""",4
"Barack Obama issued a decree ""demanding that every public school now allow grown men and boys into the little girls’ bathroom.""",2
"""You can’t get on an airplane, but more than 2,000 people on that list have been able to buy a gun.""",2
"The National Park Service has ""an annual budget that is less than the city of Austin.""",5
"Says Mark Zandi, who wrote a report criticizing Donald Trump’s economic proposals, is ""one of Sen. John McCain’s former economic advisers.""",3
"Says Donald Trump called pregnant employees ""an inconvenience.""",5
"""For every extra year that a girl stays in secondary school, her chance of getting infected with HIV/AIDS decreases by half.""",4
"""We don’t know anything about Hillary in terms of religion. Now, she’s been in the public eye for years and years, and yet there’s no  -  there’s nothing out there.""",0
"My administration is ""well represented both racially, ethnically and gender-wise.""",2
"""People have a constitutional right to have semiautomatic rifles.""",4
"As a result of Roe vs. Wade, ""America’s maternal mortality rate dropped dramatically.""",4
"Says Ron Johnson referred to ""The Lego Movie"" as an ""insidious anti-business conspiracy.""",3
"Says Hillary Clinton’s immigration platform would ""create totally open borders.""",1
"Says Hillary Clinton ""has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book.""",0
"""Attempts to find things like, ’crime,’ ’criminal activity,’ ’indictment,’ have been filtered out by Google"" in favor of Hillary Clinton.",2
"Austin was the ""site of the first mass shooting in the country.""",1
"""The LGBT community is more often the victims of hate crimes than any other recognized group.""",5
"The Benghazi victims were ""left helpless to die as Hillary Clinton soundly slept in her bed.""",1
"The ammunition used in the Orlando shooting ""is banned by Geneva Convention. It enters the body, spins & explodes.""",1
"""Al-Qaida operatives, have said, ’Hey, we want you to use this loophole (for purchasing guns despite being on a watch list) to attack and kill Americans.’""",4
"""As governor, in the face of partisan attacks, (Charlie Crist) had the courage to save jobs and lead his state into economic recovery.""",3
"Says Hillary Clinton’s ""State Department blocked investigation into Orlando killer’s mosque.""",1
"""For the amount of money Hillary Clinton would like to spend on refugees, we could rebuild every inner city in America.""",0
"""Because of Obamacare, you have so many part-time jobs.""",1
"""If Question 1 were to pass here in Nevada, we would have more restrictive gun laws here in Nevada dealing with the transfer of firearms than they do in California.""",3
